model,model_group,source_path,id,word,context,w_word,wo_word,followup,removal_log_prob_delta_per_token,removal_upper_iqr_outlier,include_context,log_prob_w_word,log_prob_wo_word,log_prob_w_word_per_token,log_prob_wo_word_per_token,w_word_token_count,wo_word_token_count,log_prob_followup_with,log_prob_followup_without,log_prob_followup_with_per_token,log_prob_followup_without_per_token,followup_token_count_with,followup_token_count_without,log_prob_full_with,log_prob_full_without,log_prob_full_with_per_token,log_prob_full_without_per_token,full_token_count_with,full_token_count_without,observer_mode
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,10714,only,"David, we have been doing business for three years, haven't we?__eou__Yes, I'm glad we've had very pleasant cooperation in the previous years. And your achievement for promoting our clothes was great in the three years.__eou__So, I wish to apply for the sole agency of your product in our local market. If you give us the agency, that will be more substantial for our cooperation.","To be frank, you are not the only one who applies for an agent for us in your country. I'd like to know some ideas of terms on which you would be willing to operate as our agent.","To be frank, you are not the one who applies for an agent for us in your country. I'd like to know some ideas of terms on which you would be willing to operate as our agent.","As we are a well-established company, we are very familiar with the customers' needs. Besides, we can make full use of our good connections with the wholesalers and retailers here and develop a good market for your products if appointed as your agent.",0.19601123356012917,False,True,-89.1501977443695,-96.0326554775238,-1.938047777051511,-2.13405901061164,46,45,-101.79292154312134,-102.00494432449341,-1.9206211611909687,-1.9246215910281774,53,53,-440.6081404685974,-447.7196764945984,-2.318990212992618,-2.3688871772200972,190,189,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,10724,only,"We have settled the question of price, quality and quantity. Now I am calling to talk about the terms of payment. What are your terms of payment?","Well. We only accept the payment to be made by confirmed and irrevocable L \ C, payable against shipping documents.","Well. We accept the payment to be made by confirmed and irrevocable L \ C, payable against shipping documents.","I see. Payment by LC is the safest method, but could you make an exception and accept DA or DP?",0.01673654358962473,False,True,-72.51516151428223,-70.58334922790527,-2.4171720504760743,-2.433908594065699,30,29,-61.58693504333496,-62.633562088012695,-2.2809975941975913,-2.319761558815285,27,27,-234.09222745895386,-233.25635433197021,-2.5444807332494985,-2.563256641010662,92,91,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,10813,only,"Hello, I'd like to see Mr. Charles, the manager, please.__eou__You don't make any prior appointment, do you?","No. I haven't, but I'll take only a few minutes of his time.","No. I haven't, but I'll take a few minutes of his time.","Please tell your name, company and the nature of your business.",-0.09455809035858542,False,True,-28.58592128753662,-25.300841331481934,-1.2993600585243918,-1.2048019681658064,22,21,-23.53733253479004,-23.588346004486084,-1.3845489726347082,-1.3875497649697697,17,17,-141.6256332397461,-138.3959002494812,-1.9138599086452175,-1.895834249992893,74,73,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,10814,only,"It's time to graduate and it's time to find a job. Susan, why do we need to find a job?","We need to work is because we need money to live. We need money for food and clothes and to pay for our house. We need money for many different things, and only when we work, we can earn money. And work can also help us feel that we are useful.","We need to work is because we need money to live. We need money for food and clothes and to pay for our house. We need money for many different things, and when we work, we can earn money. And work can also help us feel that we are useful.",But you know it's hard for a new graduate to find a job right now.,-0.029355854024001315,False,True,-94.89186382293701,-91.57490825653076,-1.5556043249661806,-1.5262484709421793,61,60,-32.47964668273926,-32.70259189605713,-1.5466498420352028,-1.5572662807646251,21,21,-199.71448230743408,-196.5797004699707,-1.799229570337244,-1.7870881860906427,111,110,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,10815,only,How many people does your company employ?,"We have over sixty employees. We have about forty factory workers and technical people and the rest are admin and sales staff. We started off with only ten people, so our workforce has grown a lot.","We have over sixty employees. We have about forty factory workers and technical people and the rest are admin and sales staff. We started off with ten people, so our workforce has grown a lot.",What's your annual turnover?,0.052886342901508065,False,True,-88.99633979797363,-89.2478084564209,-2.0226440863175825,-2.0755304292190906,44,43,-14.36088752746582,-14.322402954101562,-1.436088752746582,-1.4322402954101563,10,10,-141.85454177856445,-142.10798835754395,-2.149311239069158,-2.1862767439622144,66,65,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,10901,only,"I heard Nick found a job in a bank and his salary is said very high. I also want to work there.__eou__Will this do? Your major is not related to banking, as you know.__eou__I know that, but making a lot of money makes me crazy.","Money is not the only standard to decide your career. In fact, there are more important things you can refer to when evaluating your career. If I were you, I would choose one I like to do.","Money is not the standard to decide your career. In fact, there are more important things you can refer to when evaluating your career. If I were you, I would choose one I like to do.","Actually, I am afraid I will be stuck in the job forever, if I choose a bad one.",0.11379979773995963,False,True,-92.50625514984131,-95.61624050140381,-2.0110055467356807,-2.1248053444756403,46,45,-47.04595947265625,-46.898963928222656,-1.88183837890625,-1.8759585571289064,25,25,-326.4100646972656,-329.38050079345703,-2.3825552167683623,-2.4219154470107136,137,136,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,10924,only,Where on earth are we going to borrow at 3 %?,"We can borrow from a bank, the gross interest rate will be something like 7 %. With corporate tax at say 30 %. We are only paying on 50 % of this. There is still inflation to consider.","We can borrow from a bank, the gross interest rate will be something like 7 %. With corporate tax at say 30 %. We are paying on 50 % of this. There is still inflation to consider.",You can knock off another 2 % for that.,0.08718950528625058,False,True,-127.21392822265625,-128.6615447998047,-2.6502901713053384,-2.737479676591589,48,47,-25.19141387939453,-26.288471221923828,-1.6794275919596353,-1.7525647481282551,15,15,-215.87114715576172,-218.35467910766602,-2.6983893394470213,-2.7639832798438735,80,79,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,10929,only,How many foreign languages can you speak?,Only English.,English.,What do you think of your English?,0.05646778288341703,False,True,-7.382389068603516,-6.666568756103516,-1.0546270098005022,-1.1110947926839192,7,6,-15.655695915222168,-15.803129196166992,-1.304641326268514,-1.316927433013916,12,12,-62.126296043395996,-61.56284713745117,-2.004074065916,-2.052094904581706,31,30,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,10938,only,I want to see the man responsible for selling typewriters.__eou__My name is Steven. I'm the Sales Manager of this company.,"Well, look here. Ten new typewriters were delivered to my company yesterday afternoon and only five of them work properly.","Well, look here. Ten new typewriters were delivered to my company yesterday afternoon and five of them work properly.","Oh, I'm sorry about that.",0.17147908304712445,False,True,-63.7377347946167,-66.34129619598389,-2.1978529239523,-2.3693320069994246,29,28,-8.559043407440186,-8.808198928833008,-0.7132536172866821,-0.7340165774027506,12,12,-166.42937898635864,-169.26526546478271,-2.1898602498205086,-2.2568702061971027,76,75,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,10974,only,The negotiation of the price has taken us a long time. I hope the following negotiation about quality will be quicker.,"I think so, too. Our only request is that the quality is in conformity with the contract stipulations.","I think so, too. Our request is that the quality is in conformity with the contract stipulations.",Don't worry. Our quality is based solely on our sales samples.,0.08764803666334897,False,True,-46.38928413391113,-46.796281814575195,-1.784203235919659,-1.8718512725830079,26,25,-44.0170955657959,-45.53696918487549,-2.445394198099772,-2.5298316213819714,18,18,-182.27081298828125,-184.19124507904053,-2.567194549130722,-2.6313035011291506,71,70,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11009,only,Can you read and write English and French?,"No, I'm proficient in both written and spoken English, but I can only carry on a simple conversation in French.","No, I'm proficient in both written and spoken English, but I can carry on a simple conversation in French.",Could you tell me something about your English education?,0.0907436804796653,False,True,-42.93840408325195,-43.8549690246582,-1.5335144315447127,-1.624258112024378,28,27,-25.320680618286133,-25.500598907470703,-1.8086200441632951,-1.8214713505336217,14,14,-113.43865013122559,-114.5351333618164,-2.062520911476829,-2.1210209881817854,55,54,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11018,only,Have you find any job that you are interested in?,I’Ve only find a few openings in my field.,I’Ve find a few openings in my field.,"There’s not a very high demand for that kind of job, isn’t there?",-0.049950679143270005,False,True,-42.163082122802734,-38.778629302978516,-2.635192632675171,-2.585241953531901,16,15,-38.254817962646484,-40.04983901977539,-1.821657998221261,-1.9071351914178758,21,21,-134.10073852539062,-132.50659942626953,-2.578860356257512,-2.5981686162013635,52,51,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11039,only,What do you consider to be your strong points?,I think I’m tough not only physically but mentally.,I think I’m tough not physically but mentally.,Why do you say that?,0.33667531694684705,False,True,-30.38199234008789,-33.06998062133789,-2.0254661560058596,-2.3621414729527066,15,14,-10.465104103088379,-8.13215446472168,-1.0465104103088378,-0.8132154464721679,10,10,-80.4661455154419,-80.8236255645752,-2.063234500395946,-2.126937514857242,39,38,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11048,only,I see by your resume that you have just graduated from college. I assume you haven't had any working experience. Is that right?,That's right. I've only had some part-time jobs working in department stores.,That's right. I've had some part-time jobs working in department stores.,"Well, experience is not important in this job. We are looking for a man we can train to be a teller. By the way, do you like to work with figures?",0.12816988627115888,False,True,-27.17119598388672,-28.44072723388672,-1.293866475423177,-1.422036361694336,21,20,-74.344801902771,-74.36162757873535,-1.8132878512870976,-1.8136982336276914,41,41,-177.40667629241943,-178.73928260803223,-1.9075986698109617,-1.9428182892177417,93,92,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11049,only,"How do you do? Nice to meet you, Diane.__eou__How do you do, Jack. Nice to meet you.__eou__Well, I think you' Ve reconsidered our proposal, Diane.","Yes, you are right. After all, the quality of your air conditioners is good. The only problem is price.","Yes, you are right. After all, the quality of your air conditioners is good. The problem is price.","I should not be surprised, many customers have the same opinion. Do you have any suggestion in mind? Our salesman told your secretary that the price could be negotiable.",0.08908169610159744,False,True,-52.24107551574707,-52.93394660949707,-1.8014163970947266,-1.890498093196324,29,28,-95.06919479370117,-95.10641098022461,-2.501820915623715,-2.502800288953279,38,38,-261.90312671661377,-262.6409044265747,-2.2384882625351605,-2.264145727815299,117,116,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11070,only,How about your interview?__eou__They turned me down.__eou__Why? You are so excellent.,I think the only reason is that I was too nervous during the interview and I couldn't express myself the way I wanted to.,I think the reason is that I was too nervous during the interview and I couldn't express myself the way I wanted to.,What a shame! You should have showed yourself to them!,-0.1550248420101472,False,True,-44.060882568359375,-38.096466064453125,-1.468696085611979,-1.3136712436018319,30,29,-32.103081703186035,-32.927629470825195,-2.006442606449127,-2.0579768419265747,16,16,-148.11584854125977,-143.01028156280518,-1.9748779805501302,-1.9325713724703402,75,74,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11078,only,"I'd like to start by talking about prices.__eou__I'd be glad to answer any questions you may have.__eou__Your products are very good, but the price you ask is much too high.","If you consider our high research costs and excellent quality, the price we are asking is only reasonable.","If you consider our high research costs and excellent quality, the price we are asking is reasonable.","I know, but we want 1000 pieces. This is a very large order. So, can you give us a 25 percent discount?",-0.10845501440158811,False,True,-48.462421894073486,-43.948688983917236,-2.0192675789197287,-1.9108125645181406,24,23,-64.88356685638428,-65.1971206665039,-1.908340201658361,-1.9175623725442326,34,34,-216.79786348342896,-212.60055303573608,-2.0073876248465643,-1.9869210564087485,108,107,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11122,only,"Hi, Alan. I feel very nervous because I am going to have a job interview next Monday. Could you please give me some suggestions?","Sure. Firstly, it is very important for you to be punctual. Interviewers usually don’t think much of a candidate who comes 5 or 10 minutes late only to explain that he could not find the place or he was stuck in traffic.","Sure. Firstly, it is very important for you to be punctual. Interviewers usually don’t think much of a candidate who comes 5 or 10 minutes late to explain that he could not find the place or he was stuck in traffic.","Yeah, that is very important.",0.033938193401503725,False,True,-86.80725288391113,-87.06160163879395,-1.5783136887983842,-1.612251882199888,55,54,-13.008098602294922,-12.79100227355957,-1.1825544183904475,-1.1628183885054155,11,11,-174.48676872253418,-174.52402114868164,-1.7804772318625937,-1.7992167128730066,98,97,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11128,only,"Hi, George. I'm going to have a job interview next week. Could you give me some advice?","Sure. First of all, it’s very important for you not to be late. Job interviewers usually don’t think very highly of a candidate who arrives ten minutes after the appointed time, only to explain that he could not find the place or that there was heavy traffic.","Sure. First of all, it’s very important for you not to be late. Job interviewers usually don’t think very highly of a candidate who arrives ten minutes after the appointed time, to explain that he could not find the place or that there was heavy traffic.","Yeah, that's very important.",0.09896502447434852,False,True,-99.08469772338867,-103.14526748657227,-1.6794016563286216,-1.7783666808029701,59,58,-13.084171772003174,-12.96761417388916,-1.1894701610911975,-1.1788740158081055,11,11,-171.21302843093872,-175.1570405960083,-1.7834690461556117,-1.8437583220632452,96,95,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11206,only,"We can offer you a 5 % discount.__eou__Your price is rather out of line, much higher than we expected. We can't buy with your offer.__eou__Well, what do you suggest then? How about 8 %?","When we say your prices are much too high, we don't mean the are higher only by 2 or 3 percent. If we are to place an order with you. I think a discount of about 15 % would be sufficient.","When we say your prices are much too high, we don't mean the are higher by 2 or 3 percent. If we are to place an order with you. I think a discount of about 15 % would be sufficient.",What? You want to drive me bankrupt! You can't expect us to make such a large reduction.,-0.03860123583125086,False,True,-99.64262771606445,-95.75531387329102,-1.8800495795483858,-1.841448343717135,53,52,-46.547346115112305,-47.03225517272949,-1.8618938446044921,-1.8812902069091797,25,25,-288.60137367248535,-285.1835775375366,-2.1220689240623924,-2.1124709447224936,136,135,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11209,only,"We're thinking of ordering fifty refrigerators. But, there's one problem.__eou__What's that? I thought our negotiation went very well.",The only problem is the price. It's not possible for us to make any sales at this price.,The problem is the price. It's not possible for us to make any sales at this price.,$ 1500 is almost the lowest price we can offer.,-0.062357927958170745,False,True,-41.042574882507324,-37.90428161621094,-1.641702995300293,-1.5793450673421223,25,24,-31.332923889160156,-31.37412691116333,-1.8431131699505974,-1.8455368771272547,17,17,-183.69557285308838,-180.5634207725525,-2.3550714468344665,-2.3449794905526296,78,77,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11214,only,Hi! May I help you?__eou__Thank you! I am interested in your product. But I am not familiar with your corporation.,"In fact, in the past we only attended local exhibitions.","In fact, in the past we attended local exhibitions.",No wonder.,0.2265651782353717,False,True,-38.69595527648926,-39.67593574523926,-2.4184972047805786,-2.6450623830159503,16,15,-9.795629501342773,-11.492233276367188,-1.3993756430489677,-1.6417476109095983,7,7,-130.15835094451904,-132.82809925079346,-2.283479841131913,-2.371930343764169,57,56,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11250,only,"Peter, I hope you will accept my quotation for the air freshener.__eou__I wish I could place a monthly order for a minimum of 50 cases, introducing your goods to my customers, but your price, $ 100 for a case, is too high in this highly competitive market.__eou__I have cut the price the minimum. You know our freshener is a patent product, different from other kinds of fresheners. We could not have quitted it at such a low price if it were not for your past large orders. This price, actually, leaves us with a very small profit.","People here desire medium-priced air freshener only. Please carefully consider my proposal, which will lead to a larger business between us.","People here desire medium-priced air freshener. Please carefully consider my proposal, which will lead to a larger business between us.",The low price I'm offering you is as low as I can go.,-0.1158553123474122,False,True,-84.03986263275146,-77.87872982025146,-2.801328754425049,-2.6854734420776367,30,29,-29.20796775817871,-29.05155372619629,-1.5372614609567743,-1.5290291434840153,19,19,-469.940691947937,-463.6231451034546,-2.6107816219329836,-2.5900734363321485,180,179,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11268,only,"Mary, I will have an interview tomorrow. I am so excited!__eou__Congratulations! By the way, have you had all the things ready for the interview?",I only typed several copies of my resume.,I typed several copies of my resume.,That's not enough. You have many other things to prepare.,-0.28449294505975153,False,True,-30.78249168395996,-25.00069236755371,-2.3678839756892276,-2.083391030629476,13,12,-18.974204540252686,-22.898640155792236,-1.1161296788383932,-1.346978832693661,17,17,-145.4043459892273,-143.5601658821106,-2.1073093621627144,-2.1111789100310383,69,68,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11284,only,"Tomorrow is my first day at work, what do you think I should be wearing?__eou__Well, if you want to look professional, serious and more conservative, a blue dress, white shirt and not-too-high shoes would be the best choice. But sometimes, very formal clothes will keep you at a distance from your colleagues. It depends on the company’s dress code.","Indeed, I found most of the employees dress casually when I went to the interview. Only the manager was in suit and tie and he just came back from a ceremony. It seems that their dress code is not that formal. Probably, I should put on car key and simple shirt.","Indeed, I found most of the employees dress casually when I went to the interview. The manager was in suit and tie and he just came back from a ceremony. It seems that their dress code is not that formal. Probably, I should put on car key and simple shirt.","Whatever you choose, make sure they are neat and clean.",0.062374326049304596,False,True,-162.46751403808594,-163.54657173156738,-2.6634018694768185,-2.725776195526123,61,60,-19.87015199661255,-19.81263828277588,-1.2418844997882843,-1.2382898926734924,16,16,-373.8107647895813,-374.84910678863525,-2.365890916389755,-2.3875739285900335,158,157,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11285,only,Do you understand any other foreign languages besides English?,"Yes, I know a little about Japanese which is similar to Chinese not only in culture but in language itself.","Yes, I know a little about Japanese which is similar to Chinese not in culture but in language itself.",What band did you pass in Japanese Language Proficiency Test?,0.11661784245417683,False,True,-58.097984313964844,-58.778892517089844,-2.234537858229417,-2.3511557006835937,26,25,-38.895267486572266,-39.307682037353516,-2.4309542179107666,-2.4567301273345947,16,16,-143.7653045654297,-144.90627670288086,-2.56723758152553,-2.6346595764160154,56,55,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11541,only,"The operation in the lab is radioactive and dangerous, so work with care. Have you got ear muffs and gloves?__eou__Do I have to wear ear muffs and gloves? I am not used to working with them on.","Yes, you have to. It is a safety rule of the company. You could not only lose your job but your hearing if you don't.","Yes, you have to. It is a safety rule of the company. You could not lose your job but your hearing if you don't.",OK. I'll go and get a pair of them.,0.12239138455314436,False,True,-60.47968864440918,-62.739789962768555,-1.7788143718943876,-1.901205756447532,34,33,-19.702863693237305,-19.94836711883545,-1.2314289808273315,-1.2467729449272156,16,16,-222.78922975063324,-225.3084453344345,-2.1630022305886722,-2.2089063268081817,103,102,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11570,only,What are your responsibilities as a secretary?,"I did only simple things in the office, such as tidying up the office, serving tea, typing and filing, and so on.","I did simple things in the office, such as tidying up the office, serving tea, typing and filing, and so on.",What courses did you take in English secretarial studies?,-0.02288481496995498,False,True,-63.65562438964844,-60.95695686340332,-1.9892382621765137,-1.9663534472065587,32,31,-30.922893524169922,-30.48422908782959,-2.0615262349446613,-2.0322819391886395,15,15,-134.96123123168945,-131.79590320587158,-2.2874784954523637,-2.272343158721924,59,58,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11579,only,"Well, do you have any experience in guiding?","Yes, but I only have few experiences. I guided a few groups of foreign tourists from America last winter vacation. I showed them around some places of interest.","Yes, but I have few experiences. I guided a few groups of foreign tourists from America last winter vacation. I showed them around some places of interest.",What places of interest did you show them?,0.05756333517649814,False,True,-81.0255298614502,-80.78953742980957,-2.250709162818061,-2.308272497994559,36,35,-10.16517448425293,-10.195781707763672,-0.7819364987886869,-0.7842909005972055,13,13,-142.72802352905273,-142.54582405090332,-2.2655241830008372,-2.2991261943694083,63,62,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11603,only,"We're on the same team here, Elvin. I'm being nice because we need to get along together.","I know you, Zina. You're only nice when you want something.","I know you, Zina. You're nice when you want something.","If we want to beat WebTracker, we're going to have to work hand in hand.",0.1522928890429045,False,True,-35.26509666442871,-36.39540672302246,-1.7632548332214355,-1.91554772226434,20,19,-52.6687707901001,-53.038357734680176,-2.2899465560913086,-2.3060155536817466,23,23,-175.79665565490723,-177.29777336120605,-2.511380795070103,-2.569532947263856,70,69,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11607,only,"Hey, Benjamin, have you finished your report on the project?__eou__Not yet. To tell you the truth, I don't know how to write it. I've considered it for several days.__eou__What? Man, you don't know how to write a project report? That's sounds a little bit ridiculous.","Don't laugh at me, please. I'm serious. I've never been required to write this kind of report before, I only do the research reports.","Don't laugh at me, please. I'm serious. I've never been required to write this kind of report before, I do the research reports.","Oh, sorry, I've totally forgotten that you are a workaholic.",0.09841206452203166,False,True,-61.45623254776001,-63.19353723526001,-1.7071175707711115,-1.8055296352931431,36,35,-37.37264847755432,-37.11566686630249,-1.868632423877716,-1.8557833433151245,20,20,-253.50457859039307,-254.99369072914124,-1.9500352199261004,-1.9766952769700872,130,129,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11620,only,"Good afternoon, Mrs.Vale. Please sit down.__eou__Thank you.__eou__Did you work as a salesperson before, Mrs.Vale?",Only as a clerk in a store.,As a clerk in a store.,"I see. Well, consulting is a little different.",-0.007815220139243406,False,True,-18.761359691619873,-17.111945629119873,-1.5634466409683228,-1.5556314208290793,12,11,-26.124979972839355,-26.759047985076904,-1.7416653315226236,-1.7839365323384604,15,15,-135.7621660232544,-134.71837759017944,-2.0570025155038545,-2.072590424464299,66,65,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11639,only,"Good afternoon, Mrs.Vale.Please sit down.__eou__Thank you.__eou__Did you work as a salesperson before, Mrs.Vale?",Only as a clerk in a store.,As a clerk in a store.,"I see. Well, consulting is a little different.",0.009190707495718264,False,True,-19.265907764434814,-17.761513233184814,-1.6054923137029011,-1.6146830211986194,12,11,-26.707669258117676,-27.44354248046875,-1.7805112838745116,-1.8295694986979167,15,15,-143.27326679229736,-142.50985479354858,-2.2042041044968825,-2.2267164811491966,65,64,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11647,only,"But how did you know I was working for WebTracker?__eou__When I was in LA, I met the WebTracker sales rep.",He couldn't have told you. Only a few people at WebTracker know about me.,He couldn't have told you. A few people at WebTracker know about me.,The sales rep had a green note pad just like yours. He said everybody at WebTracker used them.,0.4675120295900288,False,True,-31.87500286102295,-40.24389171600342,-1.448863766410134,-1.9163757960001628,22,21,-50.49547791481018,-50.691511154174805,-2.0198191165924073,-2.0276604461669923,25,25,-189.1201765537262,-197.69411659240723,-2.334816994490447,-2.4711764574050905,81,80,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11704,only,"How many languages can you speak?__eou__Besides Chinese, I can speak English and French.__eou__You mean you can read and write both of them?","No, I can only carry on a simple conversation in French.","No, I can carry on a simple conversation in French.",Can you read and write English well?,0.12597070371403407,False,True,-17.16286563873291,-18.168816566467285,-1.0095803316901713,-1.1355510354042053,17,16,-14.543853759765625,-15.331071853637695,-1.211987813313802,-1.2775893211364746,12,12,-107.23688888549805,-109.03735160827637,-1.5541578099347544,-1.6034904648275936,69,68,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11770,only,"Francis, you have done an outstanding work in the past six months. In view of your achievement, I trust you’re now indispensable part of our company and you deserve an officer director title.__eou__I am so happy to know that I could make some contribution to our company.","This title does not only give you a raising pay-check, but also increase responsibilities. Congratulations, and hope the best for you.","This title does not give you a raising pay-check, but also increase responsibilities. Congratulations, and hope the best for you.","Thank you, I will be doing my best.",0.4540310914489041,False,True,-78.04049682617188,-88.60604858398438,-2.6013498942057294,-3.0553809856546335,30,29,-16.529769897460938,-16.117948532104492,-1.1806978498186385,-1.1512820380074638,14,14,-277.0816993713379,-287.1666431427002,-2.613978295956018,-2.734920410882859,106,105,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,11777,only,"Hi, still in the office? It’s already 7.",I would like to go but I have to finish a very important presentation. Our boss needs it for tomorrow’s morning meeting and I was given the complete information only late this afternoon.,I would like to go but I have to finish a very important presentation. Our boss needs it for tomorrow’s morning meeting and I was given the complete information late this afternoon.,Sounds like our boss. Typically him always late with important information. Anything I can help?,0.025851779106335737,False,True,-93.96402931213379,-92.62314796447754,-2.3491007328033446,-2.3749525119096804,40,39,-70.64472389221191,-70.96644973754883,-3.21112381328236,-3.2257477153431284,22,22,-225.3191680908203,-224.30074501037598,-2.852141368238232,-2.8756505770561023,79,78,
